"state","year_poll","w_willing_sex","w_house_chores","w_chooseto_work_study","w_conflict_jelousy","Index","mexico_violencia_psicologica","mexico_violencia_fisica","mexico_violencia_sexual"
"Aguascalientes",2016,0.931,0.255,0.458,0.824,0.617,56.3,36.6,49.6
"Aguascalientes",2021,0.932,0.88,0.52,0.819,0.788,55.4,35.7,52.9
"Baja California",2016,0.945,0.252,0.432,0.843,0.618,42.6,30.5,40.2
"Baja California",2021,0.944,0.891,0.535,0.871,0.81,44.4,29.7,49.7
"Baja California Sur",2016,0.938,0.236,0.38,0.87,0.606,41.4,24.7,30.3
"Baja California Sur",2021,0.941,0.915,0.624,0.823,0.826,44.4,27.7,46.5
"Campeche",2016,0.93,0.27,0.422,0.825,0.612,36.8,25,30
"Campeche",2021,0.91,0.836,0.518,0.782,0.761,49.1,32.9,45.3
"Chiapas",2016,0.896,0.417,0.509,0.841,0.666,37.5,26,26.8
"Chiapas",2021,0.89,0.769,0.365,0.841,0.716,32.5,22.7,27.9
"Chihuahua",2016,0.954,0.247,0.44,0.827,0.617,50.5,33.4,41.8
"Chihuahua",2021,0.938,0.88,0.568,0.846,0.808,51.7,33.5,50
"Ciudad de México",2016,0.958,0.2,0.414,0.795,0.592,60.1,44.3,61.5
"Ciudad de México",2021,0.937,0.919,0.606,0.822,0.821,57.2,39,64.5
"Coahuila de Zaragoza",2016,0.922,0.284,0.436,0.839,0.62,49.1,31.6,40.9
"Coahuila de Zaragoza",2021,0.933,0.836,0.482,0.792,0.761,53.9,34.6,51.3
"Colima",2016,0.925,0.29,0.394,0.845,0.613,46.2,29.5,37.3
"Colima",2021,0.921,0.859,0.554,0.819,0.788,55.5,37,52.9
"Durango",2016,0.92,0.263,0.499,0.812,0.623,49.2,34.2,40
"Durango",2021,0.923,0.867,0.482,0.786,0.765,51.8,32.9,47.1
"Guanajuato",2016,0.928,0.323,0.504,0.849,0.651,44.5,33.8,40.5
"Guanajuato",2021,0.921,0.819,0.514,0.81,0.766,49.4,32.7,48.6
"Guerrero",2016,0.869,0.321,0.555,0.841,0.646,44,31.5,27
"Guerrero",2021,0.906,0.778,0.411,0.788,0.721,53.3,35.6,40.9
"Hidalgo",2016,0.918,0.263,0.521,0.811,0.628,48.3,33.7,36.2
"Hidalgo",2021,0.933,0.845,0.498,0.763,0.76,54.6,37.1,46
"Jalisco",2016,0.926,0.251,0.486,0.819,0.62,55.6,37.1,51.5
"Jalisco",2021,0.921,0.891,0.527,0.807,0.787,54,35.2,53.7
"México",2016,0.955,0.298,0.441,0.809,0.626,NA,NA,NA
"México",2021,0.942,0.901,0.55,0.814,0.802,57,41.5,60.7
"Michoacán de Ocampo",2016,0.92,0.368,0.532,0.843,0.666,50.7,34.5,35.9
"Michoacán de Ocampo",2021,0.906,0.81,0.499,0.816,0.758,49.5,32.8,39.9
"Morelos",2016,0.943,0.27,0.464,0.821,0.624,48.7,34.4,39.5
"Morelos",2021,0.935,0.898,0.497,0.805,0.784,52.4,36.6,47.6
"Nayarit",2016,0.895,0.293,0.435,0.815,0.609,42.4,29.2,29.9
"Nayarit",2021,0.913,0.82,0.512,0.805,0.762,50.5,33.8,45.3
"Nuevo León",2016,0.942,0.338,0.374,0.902,0.639,37.7,25.6,38
"Nuevo León",2021,0.919,0.842,0.515,0.855,0.783,47.6,29.1,50.5
"Oaxaca",2016,0.854,0.317,0.543,0.826,0.635,49.2,34.9,29.2
"Oaxaca",2021,0.893,0.743,0.396,0.792,0.706,51.1,37.7,39.1
"Puebla",2016,0.919,0.277,0.505,0.829,0.633,49.3,33.1,38.9
"Puebla",2021,0.926,0.827,0.427,0.777,0.739,53.2,34.3,48.5
"Querétaro",2016,0.94,0.243,0.421,0.865,0.617,52.8,34.6,50.2
"Querétaro",2021,0.928,0.894,0.562,0.789,0.793,57.7,39,56.2
"Quintana Roo",2016,0.924,0.28,0.433,0.826,0.616,46.6,30.9,43.8
"Quintana Roo",2021,0.912,0.883,0.504,0.826,0.781,51.1,34,52.1
"San Luis Potosí",2016,0.926,0.264,0.42,0.825,0.609,42,30.1,35.5
"San Luis Potosí",2021,0.925,0.836,0.456,0.807,0.756,51.3,34.6,45.7
"Sinaloa",2016,0.934,0.312,0.432,0.799,0.619,43.6,29.3,32
"Sinaloa",2021,0.946,0.828,0.62,0.827,0.805,46.6,29,41.5
"Sonora",2016,0.938,0.257,0.411,0.828,0.608,42.2,27.8,35.6
"Sonora",2021,0.942,0.855,0.569,0.799,0.791,51.8,34.6,49.2
"Tabasco",2016,0.89,0.383,0.5,0.834,0.652,40.7,29.2,30.7
"Tabasco",2021,0.89,0.827,0.433,0.789,0.735,50.7,36.2,46
"Tamaulipas",2016,0.95,0.314,0.432,0.843,0.635,39.1,26.6,35.9
"Tamaulipas",2021,0.922,0.861,0.527,0.828,0.784,43.1,26.4,42.5
"Tlaxcala",2016,0.938,0.228,0.479,0.832,0.619,45.9,31.8,34.3
"Tlaxcala",2021,0.939,0.878,0.45,0.778,0.761,51.6,33.6,46.3
"Veracruz de Ignacio de la Llave",2016,0.907,0.309,0.483,0.814,0.628,46.3,30.5,34
"Veracruz de Ignacio de la Llave",2021,0.921,0.815,0.447,0.798,0.745,51.4,35.8,44.4
"Yucatán",2016,0.908,0.257,0.387,0.82,0.593,48.8,30.1,41.4
"Yucatán",2021,0.935,0.865,0.552,0.782,0.783,55.6,33.8,50.4
"Zacatecas",2016,0.897,0.327,0.474,0.846,0.636,45.5,30.8,30.9
"Zacatecas",2021,0.905,0.838,0.451,0.828,0.756,45.6,27.1,36.4
