"Departamento","year_poll","C2CONGLOME","C2NSELV","C2HOGARN","C2P201","w_postpone_goals","w_obey","w_willing_sex","punish_cheating","years_old","education_level","employed","marital_status","sex","factor","peru_violencia_sexual","peru_violencia_psicologica","peru_violencia_fisica","Index"
"Amazonas",2013,"07015","2","1","1",1,0,0,1,"51",2,"1","2","1","18566.4",6.5,65.8,37.9,0.5
"Amazonas",2013,"07015","3","1","2",1,1,1,1,"39",2,"0","2","2","13449.29",6.5,65.8,37.9,1
"Amazonas",2013,"07015","4","1","6",1,1,0,1,"19",3,"0","6","2","13449.29",6.5,65.8,37.9,0.75
"Amazonas",2013,"07015","5","1","1",1,0,0,0,"39",2,"1","1","1","18566.4",6.5,65.8,37.9,0.25
"Amazonas",2013,"07015","7","1","2",1,1,0,1,"39",0,"1","6","1","18566.4",6.5,65.8,37.9,0.75
"Amazonas",2013,"07015","40","1","2",1,1,1,0,"60",3,"1","2","2","13449.29",6.5,65.8,37.9,0.75
"Amazonas",2013,"07015","41","1","2",1,0,1,0,"59",2,"1","2","2","13449.29",6.5,65.8,37.9,0.5
"Amazonas",2013,"07015","42","1","1",1,1,0,1,"35",3,"1","2","1","18566.4",6.5,65.8,37.9,0.75
"Amazonas",2013,"07015","43","1","1",1,1,1,1,"56",2,"1","6","2","13449.29",6.5,65.8,37.9,1
"Amazonas",2013,"07015","44","1","1",0,1,0,1,"52",2,"1","2","1","18566.4",6.5,65.8,37.9,0.5
"Amazonas",2013,"07015","45","1","3",1,0,0,1,"18",3,"0","6","2","13449.29",6.5,65.8,37.9,0.5
"Amazonas",2013,"07015","47","1","2",1,1,1,1,"61",2,"0","2","2","13449.29",6.5,65.8,37.9,1
"Amazonas",2015,"07015","9","1","1",1,0,0,0,"33",3,"1","1","1","15875.79",5.65,64.89,29.79,0.25
"Amazonas",2015,"07015","10","1","1",1,0,1,0,"37",3,"1","2","1","15875.79",5.65,64.89,29.79,0.5
"Amazonas",2015,"07015","11","1","1",1,1,1,1,"35",2,"1","2","1","15875.79",5.65,64.89,29.79,1
"Amazonas",2015,"07015","12","1","2",1,0,1,1,"34",0,"0","2","2","12215.12",5.65,64.89,29.79,0.75
"Amazonas",2015,"07015","13","1","3",1,0,0,1,"28",3,"1","6","1","15875.79",5.65,64.89,29.79,0.5
"Amazonas",2015,"07015","14","1","1",1,0,1,0,"73",0,"1","5","1","15875.79",5.65,64.89,29.79,0.5
"Amazonas",2015,"07015","45","1","1",1,0,1,0,"33",3,"1","1","1","15875.79",5.65,64.89,29.79,0.5
"Amazonas",2015,"07015","47","1","2",1,0,0,0,"24",3,"0","1","2","12215.12",5.65,64.89,29.79,0.25
"Amazonas",2015,"07015","48","1","1",0,0,0,0,"54",3,"1","6","1","15875.79",5.65,64.89,29.79,0
"Amazonas",2015,"07015","50","1","1",1,0,1,1,"63",2,"1","2","1","15875.79",5.65,64.89,29.79,0.75
"Amazonas",2015,"07015","51","1","2",1,0,0,0,"41",2,"0","1","2","12215.12",5.65,64.89,29.79,0.25
